city,osm_id,building_type,name,lat,lon,levels,material,roof_material,scraped_at
Tunis,100788107,yes,,36.8308866,10.2002259,,,,2026-02-15T13:32:54.307928
Tunis,101011940,yes,,36.8311431,10.2227011,,,,2026-02-15T13:32:54.307928
Tunis,101114684,yes,,36.8309047,10.2215201,,,,2026-02-15T13:32:54.307928
Tunis,101114711,yes,,36.8306125,10.2198075,,,,2026-02-15T13:32:54.307928
Tunis,101114724,yes,,36.8309922,10.2196041,,,,2026-02-15T13:32:54.307928
Tunis,101114764,yes,,36.8310222,10.2213017,,,,2026-02-15T13:32:54.307928
Tunis,101114801,yes,,36.8310885,10.2213741,,,,2026-02-15T13:32:54.307928
Tunis,101114812,yes,,36.8310214,10.2212323,,,,2026-02-15T13:32:54.307928
Tunis,101114814,yes,,36.8328031,10.224959,,,,2026-02-15T13:32:54.307928
Tunis,101114826,yes,,36.8290576,10.2169992,,,,2026-02-15T13:32:54.307928
Tunis,101114852,yes,,36.8295023,10.2175915,,,,2026-02-15T13:32:54.307928
Tunis,101114860,yes,,36.8305825,10.2166293,,,,2026-02-15T13:32:54.307928
Tunis,101114863,yes,,36.8316025,10.2160641,,,,2026-02-15T13:32:54.307928
Tunis,101114879,yes,,36.8312007,10.2213711,,,,2026-02-15T13:32:54.307928
Tunis,101114888,yes,,36.8327769,10.2229684,,,,2026-02-15T13:32:54.307928
Tunis,101114922,yes,,36.8312136,10.2212005,,,,2026-02-15T13:32:54.307928
Tunis,101114941,yes,,36.8312389,10.2216279,,,,2026-02-15T13:32:54.307928
Tunis,101114958,yes,,36.8329565,10.2202552,,,,2026-02-15T13:32:54.307928
Tunis,101114967,yes,,36.8334837,10.2246987,,,,2026-02-15T13:32:54.307928
Tunis,101114978,yes,سيتروان,36.831272,10.2186048,,,,2026-02-15T13:32:54.307928
Tunis,101114997,yes,,36.8309543,10.2174732,,,,2026-02-15T13:32:54.307928
Tunis,101115004,yes,,36.8292753,10.2170072,,,,2026-02-15T13:32:54.307928
Tunis,101115037,yes,,36.8337106,10.2244685,,,,2026-02-15T13:32:54.307928
Tunis,101115044,yes,,36.8300828,10.2180844,,,,2026-02-15T13:32:54.307928
Tunis,101115059,yes,,36.8325429,10.225018,,,,2026-02-15T13:32:54.307928
Tunis,101115078,yes,,36.832527,10.2228212,,,,2026-02-15T13:32:54.307928
Tunis,101115105,yes,,36.831144,10.2213723,,,,2026-02-15T13:32:54.307928
Tunis,101115112,yes,,36.8304168,10.2199839,,,,2026-02-15T13:32:54.307928
Tunis,101115118,yes,,36.831021,10.2211615,,,,2026-02-15T13:32:54.307928
Tunis,101115124,yes,,36.834358,10.2235424,,,,2026-02-15T13:32:54.307928
Tunis,101115140,yes,,36.8304176,10.2199917,,,,2026-02-15T13:32:54.307928
Tunis,101115149,yes,,36.8330393,10.2227683,,,,2026-02-15T13:32:54.307928
Tunis,101115152,yes,,36.8313433,10.2206982,,,,2026-02-15T13:32:54.307928
Tunis,101115155,yes,,36.8310804,10.2210823,,,,2026-02-15T13:32:54.307928
Tunis,101115159,yes,Club Grill Citroen,36.8313017,10.2181479,,,,2026-02-15T13:32:54.307928
Tunis,101115185,yes,,36.8307258,10.2214795,,,,2026-02-15T13:32:54.307928
Tunis,101115202,yes,,36.8313388,10.2177765,,,,2026-02-15T13:32:54.307928
Tunis,101115223,yes,,36.8311925,10.2210794,,,,2026-02-15T13:32:54.307928
Tunis,101115233,yes,,36.8311359,10.2210805,,,,2026-02-15T13:32:54.307928
Tunis,101115236,yes,,36.8324166,10.2230026,,,,2026-02-15T13:32:54.307928
Tunis,101548911,yes,,36.8337498,10.2267406,,,,2026-02-15T13:32:54.307928
Tunis,101548999,yes,,36.833,10.226652,,,,2026-02-15T13:32:54.307928
Tunis,101549004,yes,,36.8325062,10.2268681,,,,2026-02-15T13:32:54.307928
Tunis,101549009,yes,لا كروازات,36.8303441,10.2272881,,,,2026-02-15T13:32:54.307928
Tunis,101549037,yes,,36.8327874,10.2267679,,,,2026-02-15T13:32:54.307928
Tunis,101549038,yes,,36.8324759,10.225854,,,,2026-02-15T13:32:54.307928
Tunis,101549055,yes,,36.832753,10.2258713,,,,2026-02-15T13:32:54.307928
Tunis,102634485,yes,,36.8396452,10.2037658,,,,2026-02-15T13:32:54.307928
Tunis,102634519,yes,,36.8413366,10.2052137,,,,2026-02-15T13:32:54.307928
Tunis,102634567,yes,,36.8402839,10.205059,,,,2026-02-15T13:32:54.307928
Tunis,102634573,yes,,36.8406503,10.2029239,,,,2026-02-15T13:32:54.307928
Tunis,102634578,yes,,36.8387745,10.203445,,,,2026-02-15T13:32:54.307928
Tunis,102634613,yes,,36.8386448,10.2025594,,,,2026-02-15T13:32:54.307928
Tunis,102634697,yes,,36.8412949,10.2029942,,,,2026-02-15T13:32:54.307928
Tunis,102634708,yes,,36.8385771,10.2031684,,,,2026-02-15T13:32:54.307928
Tunis,102634717,yes,,36.8408689,10.2054017,,,,2026-02-15T13:32:54.307928
Tunis,102634721,industrial,,36.8401898,10.2033969,,,,2026-02-15T13:32:54.307928
Tunis,102634727,yes,,36.841697,10.2049234,,,,2026-02-15T13:32:54.307928
Tunis,102736053,yes,,36.8360383,10.18293,,,,2026-02-15T13:32:54.307928
Tunis,102779301,yes,OMV,36.8364584,10.1581749,,,,2026-02-15T13:32:54.307928
Tunis,102779316,yes,الشركة الوطنية لاستغلال وتوزيع المياه,36.8364125,10.1599936,,,,2026-02-15T13:32:54.307928
Tunis,102779326,yes,وكالة تونس افريقيا للانباء,36.8369729,10.159191,,,,2026-02-15T13:32:54.307928
Tunis,102808923,yes,SONEDE,36.8402399,10.1459108,,,,2026-02-15T13:32:54.307928
Tunis,102808931,yes,الشركة الوطنية لاستغلال وتوزيع المياه,36.8408696,10.1458021,,,,2026-02-15T13:32:54.307928
Tunis,102808934,yes,الشركة الوطنية لاستغلال وتوزيع المياه,36.8412484,10.1457995,,,,2026-02-15T13:32:54.307928
Tunis,102808936,yes,SONEDE,36.8375269,10.1506418,,,,2026-02-15T13:32:54.307928
Tunis,102808943,yes,SONEDE,36.8379669,10.1501325,,,,2026-02-15T13:32:54.307928
Tunis,102831449,yes,باردو سنتر,36.809596,10.1377443,,,,2026-02-15T13:32:54.307928
Tunis,102880758,yes,Salle Mohamed-Zouaoui,36.8126753,10.1874625,,,,2026-02-15T13:32:54.307928
Tunis,102880804,yes,,36.7686143,10.1945624,,,,2026-02-15T13:32:54.307928
Tunis,102880824,yes,,36.8021192,10.1917242,,,,2026-02-15T13:32:54.307928
Tunis,102892851,yes,استراميفلكس,36.8428182,10.2033872,,,,2026-02-15T13:32:54.307928
Tunis,103399498,yes,المحطة الجنوبية للنقل البري,36.7880853,10.1796385,,,,2026-02-15T13:32:54.307928
Tunis,103399666,yes,,36.7876031,10.1792094,,,,2026-02-15T13:32:54.307928
Tunis,103399699,yes,,36.7853038,10.181525,,,,2026-02-15T13:32:54.307928
Tunis,103399718,shed,,36.7860048,10.1788766,,,,2026-02-15T13:32:54.307928
Tunis,103568050,yes,,36.7777758,10.2090008,,,,2026-02-15T13:32:54.307928
Tunis,103568055,yes,كارفور,36.7756542,10.215521,,,,2026-02-15T13:32:54.307928
Tunis,103825249,dormitory,المبيت الجامعي باردو 3,36.8180257,10.1399271,,,,2026-02-15T13:32:54.307928
Tunis,103825294,yes,,36.8139022,10.1453703,,,,2026-02-15T13:32:54.307928
Tunis,103825334,yes,,36.8101994,10.1301859,,,,2026-02-15T13:32:54.307928
Tunis,103825348,yes,,36.8107111,10.1276221,,,,2026-02-15T13:32:54.307928
Tunis,103825423,yes,,36.8140566,10.1450568,,,,2026-02-15T13:32:54.307928
Tunis,103825459,yes,قصر سعيد,36.8114058,10.1294995,,,,2026-02-15T13:32:54.307928
Tunis,103825550,yes,,36.8106261,10.1303551,,,,2026-02-15T13:32:54.307928
Tunis,103825711,yes,,36.813907,10.1461241,,,,2026-02-15T13:32:54.307928
Tunis,103825803,yes,,36.809397,10.1323292,,,,2026-02-15T13:32:54.307928
Tunis,103825813,yes,,36.8141921,10.1449215,,,,2026-02-15T13:32:54.307928
Tunis,103825910,dormitory,المبيت الجامعي باردو 2,36.8181042,10.1406848,,,,2026-02-15T13:32:54.307928
Tunis,103825997,yes,,36.810385,10.1289082,,,,2026-02-15T13:32:54.307928
Tunis,103826001,yes,,36.8093418,10.132219,,,,2026-02-15T13:32:54.307928
Tunis,103826018,yes,,36.8104635,10.1281525,,,,2026-02-15T13:32:54.307928
Tunis,103856686,yes,,36.8230414,10.1361057,,,,2026-02-15T13:32:54.307928
Tunis,103856735,yes,,36.8193561,10.1300659,,,,2026-02-15T13:32:54.307928
Tunis,103856815,yes,,36.8193573,10.1298558,,,,2026-02-15T13:32:54.307928
Tunis,103856908,yes,,36.824501,10.1348942,,,,2026-02-15T13:32:54.307928
Tunis,103857012,yes,Kiosque Totale,36.824632,10.1347803,,,,2026-02-15T13:32:54.307928
Tunis,104536667,yes,,36.8284522,10.1694628,,,,2026-02-15T13:32:54.307928
Tunis,105510069,yes,,36.851275,10.1873111,,,,2026-02-15T13:32:54.307928
Tunis,105510084,yes,,36.8513815,10.1859537,,,,2026-02-15T13:32:54.307928
Tunis,105510109,yes,,36.8511391,10.1847839,,,,2026-02-15T13:32:54.307928
Tunis,105510118,yes,,36.8511096,10.1852744,,,,2026-02-15T13:32:54.307928
Tunis,105510136,yes,,36.8509457,10.1882988,,,,2026-02-15T13:32:54.307928
Tunis,105510157,yes,,36.8510453,10.1874883,,,,2026-02-15T13:32:54.307928
Tunis,105510162,yes,,36.8506478,10.1875141,,,,2026-02-15T13:32:54.307928
