etat_score,etat_prob_renove,standing_score,standing_prob_luxe
0,0.4729,1,0.3207
1,0.6386,3,0.3773
1,0.7284,2,0.3763
1,0.6556,2,0.3442
0,0.4729,1,0.3207
1,0.6263,3,0.3951
1,0.5717,2,0.3562
1,0.546,3,0.3568
1,0.6532,3,0.3775
1,0.6702,2,0.3505
1,0.684,2,0.3535
1,0.6566,2,0.327
0,0.4753,3,0.3632
1,0.5884,3,0.3561
1,0.6572,2,0.3591
1,0.543,3,0.3459
1,0.5691,2,0.3502
1,0.6789,3,0.3703
1,0.7221,3,0.4066
1,0.6021,3,0.3885
1,0.7134,3,0.3801
1,0.6005,3,0.3624
1,0.5046,2,0.3188
0,0.4729,3,0.3906
0,0.4729,1,0.3207
1,0.6926,3,0.3847
0,0.4729,1,0.3207
1,0.6843,3,0.3691
1,0.6764,3,0.3914
1,0.7268,2,0.3687
1,0.6477,2,0.352
0,0.4729,1,0.3207
1,0.5738,3,0.3819
1,0.6175,3,0.4061
1,0.653,2,0.3399
1,0.6385,2,0.3427
1,0.6198,2,0.3452
1,0.5414,2,0.334
1,0.6839,2,0.369
0,0.4729,2,0.3831
0,0.4729,3,0.3897
0,0.4729,3,0.3831
1,0.6277,2,0.3616
1,0.6952,3,0.38
1,0.7705,3,0.4148
1,0.7116,2,0.3722
1,0.5287,3,0.3669
1,0.7407,2,0.3567
1,0.5282,3,0.3618
1,0.6766,2,0.3632
1,0.6438,3,0.3795
1,0.7387,2,0.3734
0,0.4729,1,0.3207
1,0.6718,3,0.4013
0,0.4983,3,0.3405
1,0.6839,2,0.369
1,0.6062,2,0.3144
1,0.75,2,0.3495
1,0.673,3,0.4059
0,0.4819,3,0.3479
1,0.737,3,0.4
1,0.5003,3,0.3468
1,0.6161,2,0.3678
1,0.7407,2,0.3567
1,0.7125,2,0.3511
1,0.5604,2,0.3416
1,0.6834,2,0.3708
0,0.4729,1,0.3207
1,0.5372,3,0.3792
1,0.6355,2,0.3242
1,0.5282,3,0.3618
1,0.7387,2,0.3734
1,0.6718,3,0.4013
1,0.602,2,0.3582
1,0.586,3,0.3789
0,0.4729,1,0.3207
