gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
1,0.332,36.8665,10.1647,53.0,2.0,1.0,0.5,0.247,2.0,43985.0,0.2782,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,199097.0,https://www.mubawab-media.com/ad/8/304/709F/h/salon%2002_81979948_81979964.avif
20,0.26,36.819,10.2358,1005.0,3.0,3.0,0.5,0.517,2.0,43985.0,0.3168,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6300000.0,https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33_81979107.avif
1,0.332,36.8665,10.1647,90.0,4.0,3.0,0.5,0.247,2.0,43985.0,0.277,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145000.0,https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%281%29_81979674.avif
23,0.6867,36.819,10.1658,153.0,3.0,4.0,0.5,0.5524,2.0,2562.03,0.2887,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,650000.0,https://www.mubawab-media.com/ad/8/304/579F/h/photo_00_81978854.avif
8,0.1422,35.6781,10.0963,105.0,3.0,2.0,0.5,0.2424,2.0,178346.92,0.2802,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,248841.0,https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_81a4a372_81461045.avif
1,0.3533,36.899,10.2358,116.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3132,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,460000.0,https://www.mubawab-media.com/ad/8/271/996F/h/salon_81629754.avif
1,0.3533,36.899,10.2358,190.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.2984,4,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,850000.0,https://www.mubawab-media.com/ad/8/238/717F/h/jardin_81269437.avif
1,0.3533,36.899,10.2358,68.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.2758,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,296000.0,https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208457_property_xlarge_81427437.avif
1,0.3533,36.899,10.2358,125.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3104,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,475000.0,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif
1,0.3533,36.899,10.2358,214.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif
