gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
23,0.8148,36.8769,10.3247,300.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3391,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6000.0,https://www.mubawab-media.com/ad/8/305/650F/h/thumb_1280492_property_large_81989370.avif
1,0.3704,36.899,10.2358,119.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1180.0,https://www.mubawab-media.com/ad/8/305/633F/h/balcon_81989167.avif
23,0.8148,36.8769,10.3247,110.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3321,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6500.0,https://www.mubawab-media.com/ad/8/139/661F/h/thumb_1084639_property_xlarge_80246014.avif
1,0.3704,36.899,10.2358,100.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.3277,4,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1450.0,https://www.mubawab-media.com/ad/8/305/643F/h/1_81989182.avif
1,0.3704,36.899,10.2358,50.0,1.0,1.0,0.5,0.4235,2.0,43985.0,0.3104,4,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,900.0,https://www.mubawab-media.com/ad/8/305/636F/h/1_81989153.avif
1,0.3704,36.899,10.2358,70.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.3253,4,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1250.0,https://www.mubawab-media.com/ad/8/305/632F/h/1_81989077.avif
23,0.8148,36.8769,10.3247,77.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3424,4,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1500.0,https://www.mubawab-media.com/ad/8/305/626F/h/photo_00_81988990.avif
23,0.8148,36.8769,10.3247,260.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3226,4,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,2800.0,https://www.mubawab-media.com/ad/8/305/607F/h/629778666_2099366473966315_3757308478206025237_n_81988932.avif
1,0.3889,36.8665,10.1647,110.0,2.0,2.0,0.5,0.5305,2.0,43985.0,0.3148,4,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1600.0,https://www.mubawab-media.com/ad/8/305/617F/h/WhatsApp%20Image%202026-02-16%20at%2008.16.21_81988923.avif
23,0.8148,36.8769,10.3247,300.0,5.0,3.0,0.5,0.8015,2.0,2562.03,0.3557,4,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,7000.0,https://www.mubawab-media.com/ad/8/293/152F/h/thumb_1265640_property_xlarge_81855444.avif
23,0.8148,36.8769,10.3247,200.0,5.0,3.0,0.5,0.8015,2.0,2562.03,0.3356,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,5000.0,https://www.mubawab-media.com/ad/8/290/192F/h/ab741b27-885c-427d-8daf-bf2a3f860063_81824512.avif
23,0.7037,36.819,10.1658,145.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3128,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,2600.0,https://www.mubawab-media.com/ad/8/142/376F/h/9%20%281%29_81805505.avif
23,0.7037,36.819,10.1658,140.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3367,4,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,2300.0,https://www.mubawab-media.com/ad/8/301/413F/h/WhatsApp%20Image%202026-02-10%20at%202.48.46%20PM_81946955.avif
1,0.3704,36.819,10.2358,60.0,2.0,1.0,0.5,0.517,2.0,43985.0,0.3168,3,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1500.0,nan
1,0.3704,36.899,10.2358,64.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.3338,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1300.0,https://www.mubawab-media.com/ad/8/298/148F/h/thumb_1271805_property_xlarge_81911424.avif
1,0.3704,36.899,10.2358,33.0,1.0,1.0,0.5,0.4235,2.0,43985.0,0.3176,4,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1100.0,https://www.mubawab-media.com/ad/8/253/720F/h/WhatsApp%20Image%202022-11-17%20at%2009.36.04_36353949_81423296.avif
