id_annonce,url,titre,prix,prix_tnd,ville,quartier,gouvernorat,surface_m2,nb_pieces,nb_chambres,nb_sdb,capacite,nuits_min,equipements,image_url,categorie,type_bien,source,titre_detail,agence,agence_url,images,nb_images,telephones
8296070,https://www.mubawab.tn/fr/a/8296070/superbe-villa-moderne-300m-du-centre-midoun,Superbe Villa Moderne 300m du Centre Midoun,Prix à consulter,,Midoun,Midoune,,226,4,4,,,,Garage | Meublé | Entre-seul | Salon européen | Climatisation | Double vitrage | Porte blindée | Cuisine équipée | Réfrigérateur | Four | Machine à laver | Micro-ondes,https://www.mubawab-media.com/ad/8/296/070F/h/WhatsApp%20Image%202026-02-02%20at%2012.37.07%20PM_81889644.avif,vente,Maison,Mubawab.tn,Superbe Villa Moderne 300m du Centre Midoun,,,https://www.mubawab-media.com/ad/8/296/070F/h/WhatsApp%20Image%202026-02-02%20at%2012.37.07%20PM_81889644.avif,1.0,
8276001,https://www.mubawab.tn/fr/a/8276001/villa-de-prestige-%C3%A0-fort-potentiel,Villa de prestige à fort potentiel,850 000 TND,850000,La Marsa,Bhar Lazreg,Tunis,235,7,7,,,,Jardin | Terrasse | Garage | Climatisation | Chauffage central,https://www.mubawab-media.com/ad/8/276/001F/h/2_81671405.avif,vente,Maison,Mubawab.tn,Villa de prestige à fort potentiel,,https://www.mubawab.tn/fr/b/13949/hm-residential,https://www.mubawab-media.com/ad/8/276/001F/h/2_81671405.avif | https://www.mubawab-media.com/ad/8/276/001F/h/1_81671406.avif | https://www.mubawab-media.com/ad/8/276/001F/h/3_81671407.avif | https://www.mubawab-media.com/ad/8/276/001F/h/4_81671408.avif,4.0,
7867355,https://www.mubawab.tn/fr/a/7867355/maison-a-r%C3%A9am%C3%A9nager,Maison a réaménager,240 000 000 TND,240000000,Le Kram,Le Kram,Tunis,117,,3,1,,,Jardin | Terrasse | Garage | Vue sur mer | Vue sur les montagnes,https://www.mubawab-media.com/ad/7/867/355F/h/1000002106_68252576.avif,vente,Maison,Mubawab.tn,Maison a réaménager,,,https://www.mubawab-media.com/ad/7/867/355F/h/1000002106_68252576.avif | https://www.mubawab-media.com/ad/7/867/355F/h/1000002125_68252577.avif,2.0,
8242835,https://www.mubawab.tn/fr/a/8242835/%C3%A0-vendre-un-triplex-s3,À vendre un triplex s3,620 000 TND,620000,La Marsa,La Marsa,Tunis,187,3,3,1,,,Terrasse | Garage | Entre-seul | Cheminée | Climatisation | Chauffage central | Cuisine équipée,https://www.mubawab-media.com/ad/8/242/835F/h/thumb_1194315_property_large_81310326.avif,vente,Maison,Mubawab.tn,À vendre un triplex s3,,https://www.mubawab.tn/fr/b/10865/b2b-consulting,https://www.mubawab-media.com/ad/8/242/835F/h/thumb_1194315_property_large_81310326.avif | https://www.mubawab-media.com/ad/8/242/835F/h/thumb_1194326_property_large_81310316.avif | https://www.mubawab-media.com/ad/8/242/835F/h/thumb_1194322_property_large_81310314.avif | https://www.mubawab-media.com/ad/8/242/835F/h/thumb_1194311_property_large_81310317.avif,4.0,
7990454,https://www.mubawab.tn/fr/a/7990454/a-vendre-une-maison-au-centre-ras-jebel,A vendre une maison au centre ras jebel,120 000 TND,120000,Ras Jebel,Cap Zebib,,110,4,3,1,,,,https://www.mubawab-media.com/ad/7/990/454F/h/images%20%2812%29_78761159.avif,vente,Maison,Mubawab.tn,A vendre une maison au centre ras jebel,,https://www.mubawab.tn/fr/b/8713/agence-brinis,https://www.mubawab-media.com/ad/7/990/454F/h/images%20%2812%29_78761159.avif,1.0,
8289868,https://www.mubawab.tn/fr/a/8289868/villa-%C3%A0-vendre-%C3%A0-gammarth-sup%C3%A9rieur,Villa à vendre à Gammarth supérieur,2 050 000 TND,2050000,La Marsa,Gammarth Supérieur,Tunis,543,6,5,1,,,Jardin | Terrasse | Garage | Climatisation | Chauffage central,https://www.mubawab-media.com/ad/8/289/868F/h/thumb_1263498_property_large_81820843.avif,vente,Maison,Mubawab.tn,Villa à vendre à Gammarth supérieur,,https://www.mubawab.tn/fr/b/11307/open-door-real-estate,https://www.mubawab-media.com/ad/8/289/868F/h/thumb_1263498_property_large_81820843.avif | https://www.mubawab-media.com/ad/8/289/868F/h/thumb_1263490_property_large_81820844.avif | https://www.mubawab-media.com/ad/8/289/868F/h/thumb_1263491_property_large_81820845.avif | https://www.mubawab-media.com/ad/8/289/868F/h/thumb_1263492_property_large_81820846.avif,4.0,
8295636,https://www.mubawab.tn/fr/a/8295636/vila-en-cours-de-construction-a-mnihla,Vila en cours de construction a mnihla,250 000 TND,250000,Mnihla,Mnihla,Ariana,100,2,2,1,,,,https://www.mubawab-media.com/ad/8/295/636F/h/%D9%81%D9%8A%D9%84%D8%A7%20%D9%82%D9%8A%D8%AF%20%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%A1%20%D8%A8%D8%A7%D9%84%D9%85%D9%86%D9%8A%D9%87%D9%84%D8%A9%D8%8C%D9%82%D8%B1%D8%A8%20%D8%AF%D8%A7%D8%B1%20Toyota%D8%8C%20%D8%A8%D8%B3%D8%B9%D8%B1%20250%20%D8%A7%D9%94%D9%84%D9%81%20%D8%AF%D9%8A%D9%86%D8%A7%D8%B1%D8%8C%20%D8%B9%D9%84%D9%89%20%D9%85%D8%B3%D8%A7%D8%AD%D8%A9%20150%20%D9%85%20%C2%B2%20%D9%85%D8%B9%20%D8%B1%D8%B3%D9%85%20%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%20%D9%81%D8%B1%D8%AF%D9%8A_81884433.avif,vente,Maison,Mubawab.tn,Vila en cours de construction a mnihla,,https://www.mubawab.tn/fr/b/12256/le-palace,https://www.mubawab-media.com/ad/8/295/636F/h/%D9%81%D9%8A%D9%84%D8%A7%20%D9%82%D9%8A%D8%AF%20%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%A1%20%D8%A8%D8%A7%D9%84%D9%85%D9%86%D9%8A%D9%87%D9%84%D8%A9%D8%8C%D9%82%D8%B1%D8%A8%20%D8%AF%D8%A7%D8%B1%20Toyota%D8%8C%20%D8%A8%D8%B3%D8%B9%D8%B1%20250%20%D8%A7%D9%94%D9%84%D9%81%20%D8%AF%D9%8A%D9%86%D8%A7%D8%B1%D8%8C%20%D8%B9%D9%84%D9%89%20%D9%85%D8%B3%D8%A7%D8%AD%D8%A9%20150%20%D9%85%20%C2%B2%20%D9%85%D8%B9%20%D8%B1%D8%B3%D9%85%20%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%20%D9%81%D8%B1%D8%AF%D9%8A_81884433.avif,1.0,
8290607,https://www.mubawab.tn/fr/a/8290607/duplex-en-s4-aux-jardins-de-carthage-mdl0166,Duplex en S4 aux Jardins De Carthage MDL0166,Prix à consulter,,Le Kram,Les Jardins de Carthage,Tunis,,5,4,,,,Jardin | Terrasse | Garage | Climatisation | 2,https://www.mubawab-media.com/ad/8/290/607F/h/1_81829371.avif,vente,Maison,Mubawab.tn,Duplex en S4 aux Jardins De Carthage MDL0166,,https://www.mubawab.tn/fr/b/7760/la-croisette-immobili%C3%A8re-tunisie,https://www.mubawab-media.com/ad/8/290/607F/h/1_81829371.avif | https://www.mubawab-media.com/ad/8/290/607F/h/2_81829372.avif | https://www.mubawab-media.com/ad/8/290/607F/h/3_81829373.avif | https://www.mubawab-media.com/ad/8/290/607F/h/4_81829374.avif,4.0,
8292053,https://www.mubawab.tn/fr/a/8292053/villa-borj-louzir,Villa Borj Louzir,700 000 TND,700000,La Soukra,Borj Louzir,Ariana,466,4,5,,,,Terrasse | Garage | Chauffage central,https://www.mubawab-media.com/ad/8/292/053F/h/WhatsApp%20Image%202025-12-29%20at%2014.04.29%20%287%29_81844042.avif,vente,Maison,Mubawab.tn,Villa Borj Louzir,,https://www.mubawab.tn/fr/b/14650/evolia,https://www.mubawab-media.com/ad/8/292/053F/h/WhatsApp%20Image%202025-12-29%20at%2014.04.29%20%287%29_81844042.avif | https://www.mubawab-media.com/ad/8/292/053F/h/WhatsApp%20Image%202025-12-29%20at%2014.04.29%20%284%29_81844040.avif | https://www.mubawab-media.com/ad/8/292/053F/h/WhatsApp%20Image%202025-12-29%20at%2014.04.29%20%281%29_81844038.avif | https://www.mubawab-media.com/ad/8/292/053F/h/WhatsApp%20Image%202025-12-29%20at%2014.04.29%20%282%29_81844039.avif,4.0,
8295588,https://www.mubawab.tn/fr/a/8295588/%C3%A0-louer-%E2%80%93-villa-s4-vue-mer-%C3%A0-gammarth-sup%C3%A9rieur,À louer – villa S4 vue mer à Gammarth Supérieur,Prix à consulter,,La Marsa,Gammarth Supérieur,Tunis,1000,,4,,,,,https://www.mubawab-media.com/ad/8/295/588F/h/thumb_1269103_property_xlarge_81883888.avif,vente,Maison,Mubawab.tn,À louer – villa S4 vue mer à Gammarth Supérieur,,https://www.mubawab.tn/fr/b/7488/immo-street,https://www.mubawab-media.com/ad/8/295/588F/h/thumb_1269103_property_xlarge_81883888.avif | https://www.mubawab-media.com/ad/8/295/588F/h/thumb_1269104_property_xlarge_81883889.avif | https://www.mubawab-media.com/ad/8/295/588F/h/thumb_1269105_property_xlarge_81883890.avif | https://www.mubawab-media.com/ad/8/295/588F/h/thumb_1269101_property_xlarge_81883891.avif,4.0,
